                EMPRESA DE OPINION DE MERCADO S.A.
==============================================================================================================
      REGISTRO DE PREFERENCIAS DE LOS TELEVIDENTES
==============================================================================================================
DNI No.   Sexo        Categoria   Hora(P)    Hora(A)    Duracion(H:M:S)   Duracion(H)   Canales       Compania       
--------------------------------------------------------------------------------------------------------------
69323674  Masculino   Menor       13:54:27   16:12:37     02:18:10           2.30      556          CableMas
50981989  Femenino    Adulto      12:27:50   15:09:02     02:41:12           2.69      555/313      TPVision
81521780  Femenino    Adulto      20:44:39   21:50:11     01:05:32           1.09      772          TPVision
80489052  Femenino    Menor       18:49:35   20:09:37     01:20:02           1.33      551/311      CableMas
45211033  Femenino    Menor       15:38:32   16:56:09     01:17:37           1.29      577          CableMas
87179097  Femenino    Adulto      20:31:37   22:18:19     01:46:42           1.78      551/701/557  TVPUCP
99924579  Femenino    Joven       14:50:34   16:10:34     01:20:00           1.33      773/556/550  TVPUCP
46702349  Femenino    Joven       13:41:24   15:27:02     01:45:38           1.76      312          TPVision
23538843  Masculino   Menor       16:42:10   18:30:18     01:48:08           1.80      577          TVPUCP
77017851  Femenino    Joven       10:53:35   13:37:36     02:44:01           2.73      550/705      TPVision
61214249  Masculino   Joven       19:52:18   21:06:41     01:14:23           1.24      772/771      TPVision
65959560  Femenino    Adulto      09:58:10   12:24:42     02:26:32           2.44      701          TPVision
38691712  Masculino   Joven       14:38:28   17:00:43     02:22:15           2.37      310/577/771  TVPUCP
81648037  Femenino    Adulto      14:57:58   17:11:52     02:13:54           2.23      555/577/557  TVPUCP
76255094  Masculino   Adulto      11:03:16   12:34:08     01:30:52           1.51      775          CableMas
54405508  Femenino    Adulto      20:26:00   23:24:49     02:58:49           2.98      772          TPVision
28066659  Masculino   Joven       19:17:59   21:58:32     02:40:33           2.68      701/553/311  CableMas
66571601  Femenino    Adulto      09:50:00   11:24:28     01:34:28           1.57      310/555/311  TVPUCP
35369787  Femenino    Joven       09:53:16   11:58:03     02:04:47           2.08      555          TVPUCP
30195706  Femenino    Adulto      16:44:33   18:48:59     02:04:26           2.07      553          CableMas
54538509  Femenino    Adulto      09:10:12   11:45:26     02:35:14           2.59      312          CableMas
34782234  Femenino    Adulto      14:43:12   17:37:22     02:54:10           2.90      550          TVPUCP
84254975  Femenino    Menor       10:12:31   12:17:21     02:04:50           2.08      550/553/772  TPVision
53224367  Femenino    Adulto      15:12:57   17:30:55     02:17:58           2.30      550          CableMas
